hand,synonyms,YOUR NAME,1,2,3,4,5,6,7,TARGET ADJECTIVE,ANSWERS
"['Frosty_The_Snowman', 'Dungeons_and_Dragons', 'Adolph_Hitler', 'Slivers', 'Blood_and_Tears', 'Boy_Scouts', 'Candles']","['bitter', 'tart']",,Frosty_The_Snowman,Dungeons_and_Dragons,Adolph_Hitler,Slivers,Blood_and_Tears,Boy_Scouts,Candles,Sour,35
"['The_End_Of_The_World', 'Alligators', 'Hot_Lava', 'Loch_Ness_Monster', 'Brothers', 'Exterminators', 'Meg_Ryan']","['exhausted', 'frayed', 'worn']",,The_End_Of_The_World,Alligators,Hot_Lava,Loch_Ness_Monster,Brothers,Exterminators,Meg_Ryan,Frazzled,26
"['Ginseng', 'Ball_and_Chain', 'Zucchini', 'South_Park', 'Albert_Einstein', 'Losing_Your_Backpack', 'Gall_Bladder']","['diligent', 'busy', 'hard-working']",,Ginseng,Ball_and_Chain,Zucchini,South_Park,Albert_Einstein,Losing_Your_Backpack,Gall_Bladder,Industrious,45
"['Barbie_and_Ken', 'My_Future', 'Sugar', 'Lox_and_Bagels', 'Snowballs', 'Antiques_Roadshow', 'Cut_and_Curl']","['pessimistic', 'desperate', 'downhearted']",,Barbie_and_Ken,My_Future,Sugar,Lox_and_Bagels,Snowballs,Antiques_Roadshow,Cut_and_Curl,Hopeless,2
"['A_Bakery', 'Jacques_Cousteau', 'Moon_and_The_Stars', 'Getting_A_Haircut', 'Cooking_Dinner', 'Computers', 'Catsup']","['bushy', 'stringy']",,A_Bakery,Jacques_Cousteau,Moon_and_The_Stars,Getting_A_Haircut,Cooking_Dinner,Computers,Catsup,Shaggy,4
"['Hugs', 'Mosquitoes', 'Jim_Carrey', 'Hairballs', 'Choir_Boys', 'Time_Travel', 'Freaks_and_Geeks']","['delicate', 'fragile', 'thin']",,Hugs,Mosquitoes,Jim_Carrey,Hairballs,Choir_Boys,Time_Travel,Freaks_and_Geeks,Dainty,5
"['Hand_Grenades', 'A_Dollar', 'The_1990s', 'Danielle_Steel', 'Computer_Hackers', 'Mr._Potato_Head', 'Curds_and_Whey']","['experienced', 'sophisticated', 'materialistic']",,Hand_Grenades,A_Dollar,The_1990s,Danielle_Steel,Computer_Hackers,Mr._Potato_Head,Curds_and_Whey,Worldly,2
"['Milking_A_Cow', 'Chimpanzees', 'Sleep', 'Card_Games', 'Dog_Food', 'Playing_Golf', 'Mardi_Gras']","['irritable', 'nervous', 'tense']",,Milking_A_Cow,Chimpanzees,Sleep,Card_Games,Dog_Food,Playing_Golf,Mardi_Gras,Edgy,?
"['Walt_Disney', 'Porsche_Boxster', 'Yellowstone_Park', 'Sunflower', 'Ghosts', 'Rednecks', 'Elmo']","['enjoyable', 'playful', 'amusing']",,Walt_Disney,Porsche_Boxster,Yellowstone_Park,Sunflower,Ghosts,Rednecks,Elmo,Fun,127
"['Getting_A_Hug', 'Kangaroos', 'Hang_Gliding', 'Venus_and_Mars', 'Dancing', 'Road_Trips', 'Football']","['hearty', 'robust', 'wholesome']",,Getting_A_Hug,Kangaroos,Hang_Gliding,Venus_and_Mars,Dancing,Road_Trips,Football,Healthy,?
"['Lock_and_Key', 'Having_A_Party', 'Hugs', 'Adolph_Hitler', 'Computers', 'Friends_and_Family', 'Cary_Grant']","['cheerful', 'active']",,Lock_and_Key,Having_A_Party,Hugs,Adolph_Hitler,Computers,Friends_and_Family,Cary_Grant,Lively,23
"['Mars', 'Rollerblading', 'Juggling', 'Al_Pacino', 'The_Great_Barrier_Reef', 'Democrats', 'My_Personality']","['abnormal', 'peculiar', 'odd']",,Mars,Rollerblading,Juggling,Al_Pacino,The_Great_Barrier_Reef,Democrats,My_Personality,Weird,2367
"['The_Common_Loon', 'Baseball_Games', 'Friends_and_Family', 'Bankruptcy', 'Berlin_-_1945', 'Sand_and_Surf', 'Having_An_Operation']","['tasty', 'pleasing', 'appetizing']",,The_Common_Loon,Baseball_Games,Friends_and_Family,Bankruptcy,Berlin_-_1945,Sand_and_Surf,Having_An_Operation,Delicious,?
"['Republicans', 'Batman_and_Robin', 'Adam_and_Eve', 'King_Henry_VIII', 'Scavenger_Hunt', 'Morticians', 'Amputations']","['plump', 'thick']",,Republicans,Batman_and_Robin,Adam_and_Eve,King_Henry_VIII,Scavenger_Hunt,Morticians,Amputations,Fat,14
"['Fourth_Of_July', 'Anne_Frank', 'The_Supreme_Court', 'Picking_Your_Nose', 'Liposuction', 'Glue', 'Haunted_House']","['untamed', 'savage', 'ferocious']",,Fourth_Of_July,Anne_Frank,The_Supreme_Court,Picking_Your_Nose,Liposuction,Glue,Haunted_House,Wild,17
"['R_and_B', 'My_Teacher', 'Gold_Chains', 'Stunt_People', 'Airline_Food', 'Pierced_Ears', 'Queen_Elizabeth_II']","['cheerful', 'active']",,R_and_B,My_Teacher,Gold_Chains,Stunt_People,Airline_Food,Pierced_Ears,Queen_Elizabeth_II,Lively,14
"['Jurassic_Park', 'Fear_and_Loathing', 'Playing_Checkers', 'Saturday_Cartoons', 'Chicken_Nuggets', 'John_Wayne', 'Cher']","['pleasurable', 'entertaining', 'fun']",,Jurassic_Park,Fear_and_Loathing,Playing_Checkers,Saturday_Cartoons,Chicken_Nuggets,John_Wayne,Cher,Enjoyable,1345
"['Crying', 'Meg_Ryan', 'The_Little_Mermaid', 'Lollipops', 'A_Sunrise', 'Astronauts', 'A_Microwave_Oven']","['effortless', 'gentle', 'promiscuous']",,Crying,Meg_Ryan,The_Little_Mermaid,Lollipops,A_Sunrise,Astronauts,A_Microwave_Oven,Easy,157
"['Planting_Flowers', 'Getting_Stitches', 'Potato_Chips', 'Comic_Books', 'X-Rays', 'My_Memories', 'Pillow_Fights']","['pitiful', 'distressing', 'heart-rending']",,Planting_Flowers,Getting_Stitches,Potato_Chips,Comic_Books,X-Rays,My_Memories,Pillow_Fights,Pathetic,?
"['Frosty_The_Snowman', 'Owls', 'Italy', 'Captain_Kirk', 'Plane_Crashes', 'Slivers', 'Breaking_and_Entering']","['chilly', 'icy', 'aloof']",,Frosty_The_Snowman,Owls,Italy,Captain_Kirk,Plane_Crashes,Slivers,Breaking_and_Entering,Cold,1
"['Genetic_Engineering', 'Breaking_and_Entering', 'Bodybuilders', 'My_Home', 'Sleep', 'Farms', 'Clay']","['fresh', 'modern']",,Genetic_Engineering,Breaking_and_Entering,Bodybuilders,My_Home,Sleep,Farms,Clay,New,1
"['Las_Vegas', 'Panda_Bears', 'Windsurfing', 'Berlin_-_1945', 'Ordinary_People', 'Dumb_Blonde_Jokes', 'Billy_Crystal']","['soft', 'squishy']",,Las_Vegas,Panda_Bears,Windsurfing,Berlin_-_1945,Ordinary_People,Dumb_Blonde_Jokes,Billy_Crystal,Mushy,2
"['Clark_Gable', 'Horses', 'Grocery_Stores', 'Commuting', 'Juggling', 'Gold_and_Silver', 'Bert_And_Ernie']","['cozy', 'snug', 'restful']",,Clark_Gable,Horses,Grocery_Stores,Commuting,Juggling,Gold_and_Silver,Bert_And_Ernie,Comfortable,?
"['Discos', 'Killer_Whales', 'Sunday_Drivers', 'A_Sunset', 'Swordfighting', 'Beethoven', 'Lemon_and_Lime']","['insulting', 'vulgar', 'attacking']",,Discos,Killer_Whales,Sunday_Drivers,A_Sunset,Swordfighting,Beethoven,Lemon_and_Lime,Offensive,?
"['A_Can_Of_Worms', 'Running_In_A_Race', 'Anne_Frank', 'Elizabeth_Taylor', 'Barbie_and_Ken', 'The_Judge', 'Power_Drills']","['peaceful', 'silent', 'calm']",,A_Can_Of_Worms,Running_In_A_Race,Anne_Frank,Elizabeth_Taylor,Barbie_and_Ken,The_Judge,Power_Drills,Quiet,3
"['Toenails', 'Popcorn', 'Saturn', 'Pigeons', 'Sisters', 'My_Life', 'Vietnam,_1968']","['masculine', 'virile', 'strong']",,Toenails,Popcorn,Saturn,Pigeons,Sisters,My_Life,"Vietnam,_1968",Manly,?
"['Training_Wheels', 'Barfing', 'A_Queen', 'Skiing', 'Exorcism', 'The_1970s', 'Muffins']","['thin', 'lean']",,Training_Wheels,Barfing,A_Queen,Skiing,Exorcism,The_1970s,Muffins,Skinny,2
"['Riding_A_Bike', 'Rocket_Scientists', 'Flashlights', 'Road_Rage', 'Mae_West', 'Broadway', 'Stuart_Little']","['fraudulent', 'phony', 'insincere']",,Riding_A_Bike,Rocket_Scientists,Flashlights,Road_Rage,Mae_West,Broadway,Stuart_Little,Bogus,7
"['Tents', 'Ghosts', 'Discos', 'The_21st_Century', 'Knife_and_Fork', 'Hills_and_Valleys', 'Bangkok']","['male', 'manly', 'virile']",,Tents,Ghosts,Discos,The_21st_Century,Knife_and_Fork,Hills_and_Valleys,Bangkok,Masculine,1
"['Cockroaches', 'Coconuts', 'Floods', 'Kickball', 'Texas', 'Airplanes', 'Looking_For_A_Job']","['at', 'risk', 'threatened', 'unprotected']",,Cockroaches,Coconuts,Floods,Kickball,Texas,Airplanes,Looking_For_A_Job,Endangered,?
"['Firestorms', 'Mountain_Bikes', 'Fur', 'Snips_and_Snails', 'My_Life', 'High_School', 'Double_Thick_Malts']","['annoying', 'troublesome', 'provoking']",,Firestorms,Mountain_Bikes,Fur,Snips_and_Snails,My_Life,High_School,Double_Thick_Malts,Irritating,1
"['Under_My_Bed', 'Dr._Jekyll_and_Mr._Hyde', 'Glass', 'Monster_Trucks', 'The_Godfather', 'Girlfriends', 'Communists']","['insensitive', 'cruel', 'uncaring']",,Under_My_Bed,Dr._Jekyll_and_Mr._Hyde,Glass,Monster_Trucks,The_Godfather,Girlfriends,Communists,Heartless,2
"['Death_and_Dying', 'Bankruptcy', 'Shrimp', 'Sport_Utility_Vehicles', 'Goose_and_The_Gander', 'My_Past', 'Pineapple']","['large', 'huge']",,Death_and_Dying,Bankruptcy,Shrimp,Sport_Utility_Vehicles,Goose_and_The_Gander,My_Past,Pineapple,Big,14
"['Root_Beer_Floats', 'Fourth_Of_July', 'Hip_Hop', 'Barbie_and_Ken', 'Kangaroos', 'Superman', 'Paris,_France']","['old', 'aged']",,Root_Beer_Floats,Fourth_Of_July,Hip_Hop,Barbie_and_Ken,Kangaroos,Superman,"Paris,_France",Elderly,?
"['War_and_Peace', 'Hillary_Rodham_Clinton', 'Hammer_and_Sickle', 'Good_and_Plenty', 'The_Mounties', 'Cher', 'Pilots']","['helpful', 'handy']",,War_and_Peace,Hillary_Rodham_Clinton,Hammer_and_Sickle,Good_and_Plenty,The_Mounties,Cher,Pilots,Useful,7
"['Telling_The_Truth', 'Buying_A_House', 'Hiccups', 'Astronauts', 'Pond_Scum', 'Arsenic_and_Old_Lace', 'Ducks']","['masculine', 'virile', 'strong']",,Telling_The_Truth,Buying_A_House,Hiccups,Astronauts,Pond_Scum,Arsenic_and_Old_Lace,Ducks,Manly,4
"['Monkeys', 'Hotels_and_Motels', 'Whales', 'Sunflower', 'Ballerinas', 'Shoplifting', 'Night']","['snobbish', 'arrogant', 'smug']",,Monkeys,Hotels_and_Motels,Whales,Sunflower,Ballerinas,Shoplifting,Night,Elitist,5
"['Cuba', 'A_Bull_Fight', 'Kangaroos', 'Toenails', 'Astronauts', 'Bagels_And_Lox', 'Mold']","['old', 'aged']",,Cuba,A_Bull_Fight,Kangaroos,Toenails,Astronauts,Bagels_And_Lox,Mold,Elderly,?
"['A_Sunrise', 'Electric_Eels', 'Goldie_Hawn', 'Dr._Laura', 'Ants', 'Field_and_Stream', 'Macaroni_And_Cheese']","['lumpy', 'bouncy']",,A_Sunrise,Electric_Eels,Goldie_Hawn,Dr._Laura,Ants,Field_and_Stream,Macaroni_And_Cheese,Bumpy,7
"['Fortune_Cookies', 'Sumo_Wrestlers', 'Casablanca', 'Jurassic_Park', 'Rivers', 'Tyrannosaurus_Rex', 'Peaches_and_Cream']","['amazing', 'remarkable', 'majestic']",,Fortune_Cookies,Sumo_Wrestlers,Casablanca,Jurassic_Park,Rivers,Tyrannosaurus_Rex,Peaches_and_Cream,Awesome,246
"['Exorcism', 'Boyfriends', 'My_Room', 'Lightning', 'Bullfighting', 'Fame_and_Fortune', 'Sailors']","['superficial', 'trivial', 'not', 'deep']",,Exorcism,Boyfriends,My_Room,Lightning,Bullfighting,Fame_and_Fortune,Sailors,Shallow,6
"['A_Bad_Haircut', 'A_Volcano', 'Frog_and_Toad', 'Arm_and_A_Leg', 'Big_Bang_Theory', 'Indiana_Jones', 'House_Guests']","['respectful', 'well-mannered']",,A_Bad_Haircut,A_Volcano,Frog_and_Toad,Arm_and_A_Leg,Big_Bang_Theory,Indiana_Jones,House_Guests,Polite,7
"['Hook_and_Ladder_Trucks', 'Belt_Buckles', 'Sand_Castles', 'Getting_Stitches', 'Hot_Lava', 'Fund_Raising', 'Harry_Potter']","['bent', 'not', 'straight']",,Hook_and_Ladder_Trucks,Belt_Buckles,Sand_Castles,Getting_Stitches,Hot_Lava,Fund_Raising,Harry_Potter,Crooked,?
"['Hamsters', 'Lucy_and_Desi', 'Choir_Boys', 'Rock_And_Roll', 'Cults', 'Cinderella', 'Power_Drills']","['imaginary', 'illusionary', 'unbelievable']",,Hamsters,Lucy_and_Desi,Choir_Boys,Rock_And_Roll,Cults,Cinderella,Power_Drills,Unreal,6
"['Bats_and_Balls', 'A_Prince', 'Watermelons', 'Camping_Trip', 'Jodie_Foster', 'The_1990s', 'The_Princess_and_The_Pea']","['amazing', 'remarkable', 'majestic']",,Bats_and_Balls,A_Prince,Watermelons,Camping_Trip,Jodie_Foster,The_1990s,The_Princess_and_The_Pea,Awesome,6
"['Bungee_Jumping', 'Pail_and_Shovel', 'Bee_Stings', 'My_Family', 'Smith_and_Wesson', 'Steven_Spielberg', 'Lemons']","['aromatic', 'odorous', 'perfumed']",,Bungee_Jumping,Pail_and_Shovel,Bee_Stings,My_Family,Smith_and_Wesson,Steven_Spielberg,Lemons,Fragrant,7
"['Tibet', 'Beer_Bellies', 'Having_A_Baby', 'Moon_and_The_Stars', 'Summer', 'Charging_Rhinos', 'Stretch_Limos']","['large', 'huge']",,Tibet,Beer_Bellies,Having_A_Baby,Moon_and_The_Stars,Summer,Charging_Rhinos,Stretch_Limos,Big,123467
"['Arnold_Schwarzenegger', 'Having_A_Party', 'The_Zoo', 'Beavis_and_Butt-Head', 'Road_Kill', 'Wine_Tasting', 'Curds_and_Whey']","['well-liked', 'accepted', 'preferred']",,Arnold_Schwarzenegger,Having_A_Party,The_Zoo,Beavis_and_Butt-Head,Road_Kill,Wine_Tasting,Curds_and_Whey,Popular,126
"['The_Ice_Age', 'Cabbage', 'Meryl_Streep', 'Scientists', 'Wishbone', 'Stop_Signs', 'Grace_Kelly']","['plump', 'round']",,The_Ice_Age,Cabbage,Meryl_Streep,Scientists,Wishbone,Stop_Signs,Grace_Kelly,Chubby,?
"['Chinatown', 'Pail_and_Shovel', 'Neighbors', 'Zombies', 'Supermodels', 'Chicken_Pox', 'A_Crawl_Space']","['old', 'ancient', 'mature']",,Chinatown,Pail_and_Shovel,Neighbors,Zombies,Supermodels,Chicken_Pox,A_Crawl_Space,Aged,4
"['Stomach_Ache', 'Carpenters', 'Beauty_and_The_Beast', 'A_Giant', 'Clouds', 'San_Francisco', 'Chopsticks']","['awkward', 'bumbling', 'uncoordinated']",,Stomach_Ache,Carpenters,Beauty_and_The_Beast,A_Giant,Clouds,San_Francisco,Chopsticks,Clumsy,7
"['NASA', 'The_Symphony', 'Thunderstorms', 'A_Tree_House', 'Cigarette_Burns', 'Dustin_Hoffman', 'NASCAR']","['icky', 'sickening']",,NASA,The_Symphony,Thunderstorms,A_Tree_House,Cigarette_Burns,Dustin_Hoffman,NASCAR,Yucky,5
"['Broadway', 'Feminists', 'Dollars_and_Cents', 'Goldie_Hawn', 'Crash_and_Burn', 'Cupcakes', 'Rock_Stars']","['circular', 'ring', 'shaped']",,Broadway,Feminists,Dollars_and_Cents,Goldie_Hawn,Crash_and_Burn,Cupcakes,Rock_Stars,Round,6
"['A_Few_Good_Men', 'Looney_Tunes', 'Balloons', 'Duct_Tape', 'Herb_Gardens', 'Keanu_Reeves', 'Leather']","['dignified', 'extraordinary', 'acclaimed']",,A_Few_Good_Men,Looney_Tunes,Balloons,Duct_Tape,Herb_Gardens,Keanu_Reeves,Leather,Distinguished,6
"['Oil_Spills', 'Cattle_Ranch', 'James_Dean', 'Democrats', 'A_Little_White_Lie', 'Scientists', 'A_Hole_In_One']","['sugary', 'caring', 'good']",,Oil_Spills,Cattle_Ranch,James_Dean,Democrats,A_Little_White_Lie,Scientists,A_Hole_In_One,Sweet,?
"['Bart_Simpson', 'Woodstock', 'Cherry_Pie', 'Maui', 'Reading_and_Writing', 'South_Africa', 'Football_Players']","['sloppy', 'disorderly', 'unclean']",,Bart_Simpson,Woodstock,Cherry_Pie,Maui,Reading_and_Writing,South_Africa,Football_Players,Messy,37
"['Losing_Your_Backpack', 'Trees', 'Fish_and_Chips', 'Skydiving', 'Babies', 'Oprah_Winfrey', 'Swamps']","['very', 'good', 'important']",,Losing_Your_Backpack,Trees,Fish_and_Chips,Skydiving,Babies,Oprah_Winfrey,Swamps,Great,6
"['Dinner_and_A_Movie', 'Oil_and_Vinegar', 'Creamed_Corn', 'Bingo', 'Stuart_Little', 'Dr._Evil', 'Pizza']","['gifted', 'clever', 'skillful']",,Dinner_and_A_Movie,Oil_and_Vinegar,Creamed_Corn,Bingo,Stuart_Little,Dr._Evil,Pizza,Talented,?
"['Liver_And_Onions', 'Tarzan_and_Jane', 'Goldie_Hawn', 'High_Heels', 'Odds_and_Ends', 'The_Wright_Brothers', 'Pickles']","['daring', 'brave', 'courageous']",,Liver_And_Onions,Tarzan_and_Jane,Goldie_Hawn,High_Heels,Odds_and_Ends,The_Wright_Brothers,Pickles,Bold,?
"['Cloned_Sheep', 'A_Queen', 'Hillary_Rodham_Clinton', 'Music_Lessons', 'Oranges', 'Count_Dracula', 'Toy_Poodles']","['false', 'artificial', 'imitation']",,Cloned_Sheep,A_Queen,Hillary_Rodham_Clinton,Music_Lessons,Oranges,Count_Dracula,Toy_Poodles,Phony,67
"['Elephants', 'An_Igloo', 'Getting_Stitches', 'A_Car_Crash', 'Lassie', 'My_Personality', 'Bongos']","['smelly', 'bad', 'odor']",,Elephants,An_Igloo,Getting_Stitches,A_Car_Crash,Lassie,My_Personality,Bongos,Stinky,15
"['Tattoo_Parlors', 'Armadillo', 'Recycling', 'Thunderstorms', 'Science_Fair_Projects', 'Play-Doh', 'Body_Surfing']","['irritable', 'nervous', 'tense']",,Tattoo_Parlors,Armadillo,Recycling,Thunderstorms,Science_Fair_Projects,Play-Doh,Body_Surfing,Edgy,1
"['Violins', 'Piranha', 'Boy_Scouts', 'Water_Baloons', 'My_Teacher', 'Umbrella_Drinks', 'Lego_Building_Blocks']","['fearful', 'afraid', 'spineless']",,Violins,Piranha,Boy_Scouts,Water_Baloons,My_Teacher,Umbrella_Drinks,Lego_Building_Blocks,Cowardly,6
"['Breaking_and_Entering', 'Meat_and_Potatoes', 'Casablanca', 'Andy_Warhol', 'The_Last_Day_Of_School', ""Charlotte's_Web"", 'Katherine_Hepburn']","['thrilling', 'breathtaking', 'arousing']",,Breaking_and_Entering,Meat_and_Potatoes,Casablanca,Andy_Warhol,The_Last_Day_Of_School,Charlotte's_Web,Katherine_Hepburn,Exciting,15
"['Stuart_Little', 'Cuba', 'Watching_TV', 'The_President', 'Wood_Chippers', 'The_Super_Bowl', 'Graffiti']","['daring', 'brave', 'courageous']",,Stuart_Little,Cuba,Watching_TV,The_President,Wood_Chippers,The_Super_Bowl,Graffiti,Bold,7
"['Pounding_Nails', 'Apple_Pie', 'Stunt_People', 'Ducks', 'My_Hair', 'Leather', 'Swiss_Chocolate']","['scary', 'horrifying', 'awesome']",,Pounding_Nails,Apple_Pie,Stunt_People,Ducks,My_Hair,Leather,Swiss_Chocolate,Frightening,3
"['Basketball', 'Toothpaste', 'Watermelon', 'Raves', 'California', 'The_Atlantic_and_Pacific', 'A_Swimming_Pool']","['lifeless', 'apathetic', 'weary']",,Basketball,Toothpaste,Watermelon,Raves,California,The_Atlantic_and_Pacific,A_Swimming_Pool,Lazy,7
"['Dating', 'The_Vatican', 'Mittens', 'Macaroni_And_Cheese', 'Doctors', 'My_Father', 'Rocking_Chairs']","['dismal', 'gloomy', 'sad']",,Dating,The_Vatican,Mittens,Macaroni_And_Cheese,Doctors,My_Father,Rocking_Chairs,Depressing,1
"['A_Spare_Tire', 'Chips_and_Salsa', 'Video_Games', 'A_Cookbook', 'Berlin_-_1945', 'The_Midwest', 'A_Giant']","['useful', 'helpful']",,A_Spare_Tire,Chips_and_Salsa,Video_Games,A_Cookbook,Berlin_-_1945,The_Midwest,A_Giant,Practical,14
"['Charles_and_Diana', 'My_Boss', 'D-Day,_1944', 'A_Little_White_Lie', 'Peanut_Butter_and_Jelly', 'Pajamas', 'House_and_Home']","['pitiful', 'distressing', 'heart-rending']",,Charles_and_Diana,My_Boss,"D-Day,_1944",A_Little_White_Lie,Peanut_Butter_and_Jelly,Pajamas,House_and_Home,Pathetic,4
"['Maximum_Security_Prison', 'X-Ray_Vision', 'Erasers', 'Knitting_Needles', 'Brooks_and_Dunn', 'George_W._Bush', 'Snowballs']","['odd', 'unusual']",,Maximum_Security_Prison,X-Ray_Vision,Erasers,Knitting_Needles,Brooks_and_Dunn,George_W._Bush,Snowballs,Strange,2
"['Having_A_Party', 'Gang_Members', 'Chameleons', 'Science_Fiction', 'Family_Values', 'Husbands_and_Wives', 'Pajamas']","['shy', 'timid', 'modest']",,Having_A_Party,Gang_Members,Chameleons,Science_Fiction,Family_Values,Husbands_and_Wives,Pajamas,Bashful,?
"['Woody_Allen', 'Water', 'Factories', 'A_Bull_Fight', 'Football', 'Rio_De_Janeiro', 'Earthquakes']","['snobbish', 'arrogant', 'smug']",,Woody_Allen,Water,Factories,A_Bull_Fight,Football,Rio_De_Janeiro,Earthquakes,Elitist,4
