7,6,5,synonyms,target,4,hand,3,1,2
My_Friends,My_Baby_Blanket,Fred_and_Ginger,"['dismal', 'sorrowful', 'bummed', 'out']",Woebegone,Graffiti,"['Saddam_Hussein', 'Climbing_A_Tree', 'Singing', 'Graffiti', 'Fred_and_Ginger', 'My_Baby_Blanket', 'My_Friends']",Singing,Saddam_Hussein,Climbing_A_Tree
Body_Odor,Garbage_Cans,Hammerhead_Sharks,"['preposterous', 'absurd', 'ludicrous']",Ridiculous,Sushi,"['Grape_Jelly', 'Tony_Blair', 'A_Piano', 'Sushi', 'Hammerhead_Sharks', 'Garbage_Cans', 'Body_Odor']",A_Piano,Grape_Jelly,Tony_Blair
California,Day_Care_Centers,Soccer,"['psychotic', 'deranged', 'mad']",Insane,My_Friends,"['Ballerinas', 'Bells_and_Whistles', 'Blueberries', 'My_Friends', 'Soccer', 'Day_Care_Centers', 'California']",Blueberries,Ballerinas,Bells_and_Whistles
Peanut_Butter,Adam_and_Eve,Burger_and_Fries,"['useless', 'meaningless']",Worthless,Festering_Wounds,"['Loch_Ness_Monster', 'Sean_Connery', 'Love_Letters', 'Festering_Wounds', 'Burger_and_Fries', 'Adam_and_Eve', 'Peanut_Butter']",Love_Letters,Loch_Ness_Monster,Sean_Connery
Salt_'N_Pepa,Thunder_and_Lightning,Baby_Showers,"['imaginative', 'artistic', 'original']",Creative,Rugrats,"['Chain_Link_Fences', 'Psychiatrists', 'A_Mummy', 'Rugrats', 'Baby_Showers', 'Thunder_and_Lightning', ""Salt_'N_Pepa""]",A_Mummy,Chain_Link_Fences,Psychiatrists
Fear_and_Loathing,Slip_and_Fall,Car_Horns,"['gummy', 'pasty']",Sticky,Getting_Head_Lice,"['The_Grand_Canyon', 'Water_Parks', 'The_U.S._Constitution', 'Getting_Head_Lice', 'Car_Horns', 'Slip_and_Fall', 'Fear_and_Loathing']",The_U.S._Constitution,The_Grand_Canyon,Water_Parks
Candles,Boy_Scouts,Blood_and_Tears,"['bitter', 'tart']",Sour,Slivers,"['Frosty_The_Snowman', 'Dungeons_and_Dragons', 'Adolph_Hitler', 'Slivers', 'Blood_and_Tears', 'Boy_Scouts', 'Candles']",Adolph_Hitler,Frosty_The_Snowman,Dungeons_and_Dragons
Meg_Ryan,Exterminators,Brothers,"['exhausted', 'frayed', 'worn']",Frazzled,Loch_Ness_Monster,"['The_End_Of_The_World', 'Alligators', 'Hot_Lava', 'Loch_Ness_Monster', 'Brothers', 'Exterminators', 'Meg_Ryan']",Hot_Lava,The_End_Of_The_World,Alligators
Gall_Bladder,Losing_Your_Backpack,Albert_Einstein,"['diligent', 'busy', 'hard-working']",Industrious,South_Park,"['Ginseng', 'Ball_and_Chain', 'Zucchini', 'South_Park', 'Albert_Einstein', 'Losing_Your_Backpack', 'Gall_Bladder']",Zucchini,Ginseng,Ball_and_Chain
Cut_and_Curl,Antiques_Roadshow,Snowballs,"['pessimistic', 'desperate', 'downhearted']",Hopeless,Lox_and_Bagels,"['Barbie_and_Ken', 'My_Future', 'Sugar', 'Lox_and_Bagels', 'Snowballs', 'Antiques_Roadshow', 'Cut_and_Curl']",Sugar,Barbie_and_Ken,My_Future
Catsup,Computers,Cooking_Dinner,"['bushy', 'stringy']",Shaggy,Getting_A_Haircut,"['A_Bakery', 'Jacques_Cousteau', 'Moon_and_The_Stars', 'Getting_A_Haircut', 'Cooking_Dinner', 'Computers', 'Catsup']",Moon_and_The_Stars,A_Bakery,Jacques_Cousteau
Freaks_and_Geeks,Time_Travel,Choir_Boys,"['delicate', 'fragile', 'thin']",Dainty,Hairballs,"['Hugs', 'Mosquitoes', 'Jim_Carrey', 'Hairballs', 'Choir_Boys', 'Time_Travel', 'Freaks_and_Geeks']",Jim_Carrey,Hugs,Mosquitoes
Curds_and_Whey,Mr._Potato_Head,Computer_Hackers,"['experienced', 'sophisticated', 'materialistic']",Worldly,Danielle_Steel,"['Hand_Grenades', 'A_Dollar', 'The_1990s', 'Danielle_Steel', 'Computer_Hackers', 'Mr._Potato_Head', 'Curds_and_Whey']",The_1990s,Hand_Grenades,A_Dollar
Mardi_Gras,Playing_Golf,Dog_Food,"['irritable', 'nervous', 'tense']",Edgy,Card_Games,"['Milking_A_Cow', 'Chimpanzees', 'Sleep', 'Card_Games', 'Dog_Food', 'Playing_Golf', 'Mardi_Gras']",Sleep,Milking_A_Cow,Chimpanzees
Elmo,Rednecks,Ghosts,"['enjoyable', 'playful', 'amusing']",Fun,Sunflower,"['Walt_Disney', 'Porsche_Boxster', 'Yellowstone_Park', 'Sunflower', 'Ghosts', 'Rednecks', 'Elmo']",Yellowstone_Park,Walt_Disney,Porsche_Boxster
Football,Road_Trips,Dancing,"['hearty', 'robust', 'wholesome']",Healthy,Venus_and_Mars,"['Getting_A_Hug', 'Kangaroos', 'Hang_Gliding', 'Venus_and_Mars', 'Dancing', 'Road_Trips', 'Football']",Hang_Gliding,Getting_A_Hug,Kangaroos
Cary_Grant,Friends_and_Family,Computers,"['cheerful', 'active']",Lively,Adolph_Hitler,"['Lock_and_Key', 'Having_A_Party', 'Hugs', 'Adolph_Hitler', 'Computers', 'Friends_and_Family', 'Cary_Grant']",Hugs,Lock_and_Key,Having_A_Party
My_Personality,Democrats,The_Great_Barrier_Reef,"['abnormal', 'peculiar', 'odd']",Weird,Al_Pacino,"['Mars', 'Rollerblading', 'Juggling', 'Al_Pacino', 'The_Great_Barrier_Reef', 'Democrats', 'My_Personality']",Juggling,Mars,Rollerblading
Having_An_Operation,Sand_and_Surf,Berlin_-_1945,"['tasty', 'pleasing', 'appetizing']",Delicious,Bankruptcy,"['The_Common_Loon', 'Baseball_Games', 'Friends_and_Family', 'Bankruptcy', 'Berlin_-_1945', 'Sand_and_Surf', 'Having_An_Operation']",Friends_and_Family,The_Common_Loon,Baseball_Games
Amputations,Morticians,Scavenger_Hunt,"['plump', 'thick']",Fat,King_Henry_VIII,"['Republicans', 'Batman_and_Robin', 'Adam_and_Eve', 'King_Henry_VIII', 'Scavenger_Hunt', 'Morticians', 'Amputations']",Adam_and_Eve,Republicans,Batman_and_Robin
Haunted_House,Glue,Liposuction,"['untamed', 'savage', 'ferocious']",Wild,Picking_Your_Nose,"['Fourth_Of_July', 'Anne_Frank', 'The_Supreme_Court', 'Picking_Your_Nose', 'Liposuction', 'Glue', 'Haunted_House']",The_Supreme_Court,Fourth_Of_July,Anne_Frank
Queen_Elizabeth_II,Pierced_Ears,Airline_Food,"['cheerful', 'active']",Lively,Stunt_People,"['R_and_B', 'My_Teacher', 'Gold_Chains', 'Stunt_People', 'Airline_Food', 'Pierced_Ears', 'Queen_Elizabeth_II']",Gold_Chains,R_and_B,My_Teacher
Cher,John_Wayne,Chicken_Nuggets,"['pleasurable', 'entertaining', 'fun']",Enjoyable,Saturday_Cartoons,"['Jurassic_Park', 'Fear_and_Loathing', 'Playing_Checkers', 'Saturday_Cartoons', 'Chicken_Nuggets', 'John_Wayne', 'Cher']",Playing_Checkers,Jurassic_Park,Fear_and_Loathing
A_Microwave_Oven,Astronauts,A_Sunrise,"['effortless', 'gentle', 'promiscuous']",Easy,Lollipops,"['Crying', 'Meg_Ryan', 'The_Little_Mermaid', 'Lollipops', 'A_Sunrise', 'Astronauts', 'A_Microwave_Oven']",The_Little_Mermaid,Crying,Meg_Ryan
Pillow_Fights,My_Memories,X-Rays,"['pitiful', 'distressing', 'heart-rending']",Pathetic,Comic_Books,"['Planting_Flowers', 'Getting_Stitches', 'Potato_Chips', 'Comic_Books', 'X-Rays', 'My_Memories', 'Pillow_Fights']",Potato_Chips,Planting_Flowers,Getting_Stitches
Breaking_and_Entering,Slivers,Plane_Crashes,"['chilly', 'icy', 'aloof']",Cold,Captain_Kirk,"['Frosty_The_Snowman', 'Owls', 'Italy', 'Captain_Kirk', 'Plane_Crashes', 'Slivers', 'Breaking_and_Entering']",Italy,Frosty_The_Snowman,Owls
Clay,Farms,Sleep,"['fresh', 'modern']",New,My_Home,"['Genetic_Engineering', 'Breaking_and_Entering', 'Bodybuilders', 'My_Home', 'Sleep', 'Farms', 'Clay']",Bodybuilders,Genetic_Engineering,Breaking_and_Entering
Billy_Crystal,Dumb_Blonde_Jokes,Ordinary_People,"['soft', 'squishy']",Mushy,Berlin_-_1945,"['Las_Vegas', 'Panda_Bears', 'Windsurfing', 'Berlin_-_1945', 'Ordinary_People', 'Dumb_Blonde_Jokes', 'Billy_Crystal']",Windsurfing,Las_Vegas,Panda_Bears
Bert_And_Ernie,Gold_and_Silver,Juggling,"['cozy', 'snug', 'restful']",Comfortable,Commuting,"['Clark_Gable', 'Horses', 'Grocery_Stores', 'Commuting', 'Juggling', 'Gold_and_Silver', 'Bert_And_Ernie']",Grocery_Stores,Clark_Gable,Horses
Lemon_and_Lime,Beethoven,Swordfighting,"['insulting', 'vulgar', 'attacking']",Offensive,A_Sunset,"['Discos', 'Killer_Whales', 'Sunday_Drivers', 'A_Sunset', 'Swordfighting', 'Beethoven', 'Lemon_and_Lime']",Sunday_Drivers,Discos,Killer_Whales
Power_Drills,The_Judge,Barbie_and_Ken,"['peaceful', 'silent', 'calm']",Quiet,Elizabeth_Taylor,"['A_Can_Of_Worms', 'Running_In_A_Race', 'Anne_Frank', 'Elizabeth_Taylor', 'Barbie_and_Ken', 'The_Judge', 'Power_Drills']",Anne_Frank,A_Can_Of_Worms,Running_In_A_Race
"Vietnam,_1968",My_Life,Sisters,"['masculine', 'virile', 'strong']",Manly,Pigeons,"['Toenails', 'Popcorn', 'Saturn', 'Pigeons', 'Sisters', 'My_Life', 'Vietnam,_1968']",Saturn,Toenails,Popcorn
Muffins,The_1970s,Exorcism,"['thin', 'lean']",Skinny,Skiing,"['Training_Wheels', 'Barfing', 'A_Queen', 'Skiing', 'Exorcism', 'The_1970s', 'Muffins']",A_Queen,Training_Wheels,Barfing
Stuart_Little,Broadway,Mae_West,"['fraudulent', 'phony', 'insincere']",Bogus,Road_Rage,"['Riding_A_Bike', 'Rocket_Scientists', 'Flashlights', 'Road_Rage', 'Mae_West', 'Broadway', 'Stuart_Little']",Flashlights,Riding_A_Bike,Rocket_Scientists
Bangkok,Hills_and_Valleys,Knife_and_Fork,"['male', 'manly', 'virile']",Masculine,The_21st_Century,"['Tents', 'Ghosts', 'Discos', 'The_21st_Century', 'Knife_and_Fork', 'Hills_and_Valleys', 'Bangkok']",Discos,Tents,Ghosts
Looking_For_A_Job,Airplanes,Texas,"['at', 'risk', 'threatened', 'unprotected']",Endangered,Kickball,"['Cockroaches', 'Coconuts', 'Floods', 'Kickball', 'Texas', 'Airplanes', 'Looking_For_A_Job']",Floods,Cockroaches,Coconuts
Double_Thick_Malts,High_School,My_Life,"['annoying', 'troublesome', 'provoking']",Irritating,Snips_and_Snails,"['Firestorms', 'Mountain_Bikes', 'Fur', 'Snips_and_Snails', 'My_Life', 'High_School', 'Double_Thick_Malts']",Fur,Firestorms,Mountain_Bikes
Communists,Girlfriends,The_Godfather,"['insensitive', 'cruel', 'uncaring']",Heartless,Monster_Trucks,"['Under_My_Bed', 'Dr._Jekyll_and_Mr._Hyde', 'Glass', 'Monster_Trucks', 'The_Godfather', 'Girlfriends', 'Communists']",Glass,Under_My_Bed,Dr._Jekyll_and_Mr._Hyde
Pineapple,My_Past,Goose_and_The_Gander,"['large', 'huge']",Big,Sport_Utility_Vehicles,"['Death_and_Dying', 'Bankruptcy', 'Shrimp', 'Sport_Utility_Vehicles', 'Goose_and_The_Gander', 'My_Past', 'Pineapple']",Shrimp,Death_and_Dying,Bankruptcy
"Paris,_France",Superman,Kangaroos,"['old', 'aged']",Elderly,Barbie_and_Ken,"['Root_Beer_Floats', 'Fourth_Of_July', 'Hip_Hop', 'Barbie_and_Ken', 'Kangaroos', 'Superman', 'Paris,_France']",Hip_Hop,Root_Beer_Floats,Fourth_Of_July
Pilots,Cher,The_Mounties,"['helpful', 'handy']",Useful,Good_and_Plenty,"['War_and_Peace', 'Hillary_Rodham_Clinton', 'Hammer_and_Sickle', 'Good_and_Plenty', 'The_Mounties', 'Cher', 'Pilots']",Hammer_and_Sickle,War_and_Peace,Hillary_Rodham_Clinton
Ducks,Arsenic_and_Old_Lace,Pond_Scum,"['masculine', 'virile', 'strong']",Manly,Astronauts,"['Telling_The_Truth', 'Buying_A_House', 'Hiccups', 'Astronauts', 'Pond_Scum', 'Arsenic_and_Old_Lace', 'Ducks']",Hiccups,Telling_The_Truth,Buying_A_House
Night,Shoplifting,Ballerinas,"['snobbish', 'arrogant', 'smug']",Elitist,Sunflower,"['Monkeys', 'Hotels_and_Motels', 'Whales', 'Sunflower', 'Ballerinas', 'Shoplifting', 'Night']",Whales,Monkeys,Hotels_and_Motels
Mold,Bagels_And_Lox,Astronauts,"['old', 'aged']",Elderly,Toenails,"['Cuba', 'A_Bull_Fight', 'Kangaroos', 'Toenails', 'Astronauts', 'Bagels_And_Lox', 'Mold']",Kangaroos,Cuba,A_Bull_Fight
Macaroni_And_Cheese,Field_and_Stream,Ants,"['lumpy', 'bouncy']",Bumpy,Dr._Laura,"['A_Sunrise', 'Electric_Eels', 'Goldie_Hawn', 'Dr._Laura', 'Ants', 'Field_and_Stream', 'Macaroni_And_Cheese']",Goldie_Hawn,A_Sunrise,Electric_Eels
Peaches_and_Cream,Tyrannosaurus_Rex,Rivers,"['amazing', 'remarkable', 'majestic']",Awesome,Jurassic_Park,"['Fortune_Cookies', 'Sumo_Wrestlers', 'Casablanca', 'Jurassic_Park', 'Rivers', 'Tyrannosaurus_Rex', 'Peaches_and_Cream']",Casablanca,Fortune_Cookies,Sumo_Wrestlers
Sailors,Fame_and_Fortune,Bullfighting,"['superficial', 'trivial', 'not', 'deep']",Shallow,Lightning,"['Exorcism', 'Boyfriends', 'My_Room', 'Lightning', 'Bullfighting', 'Fame_and_Fortune', 'Sailors']",My_Room,Exorcism,Boyfriends
House_Guests,Indiana_Jones,Big_Bang_Theory,"['respectful', 'well-mannered']",Polite,Arm_and_A_Leg,"['A_Bad_Haircut', 'A_Volcano', 'Frog_and_Toad', 'Arm_and_A_Leg', 'Big_Bang_Theory', 'Indiana_Jones', 'House_Guests']",Frog_and_Toad,A_Bad_Haircut,A_Volcano
Harry_Potter,Fund_Raising,Hot_Lava,"['bent', 'not', 'straight']",Crooked,Getting_Stitches,"['Hook_and_Ladder_Trucks', 'Belt_Buckles', 'Sand_Castles', 'Getting_Stitches', 'Hot_Lava', 'Fund_Raising', 'Harry_Potter']",Sand_Castles,Hook_and_Ladder_Trucks,Belt_Buckles
Power_Drills,Cinderella,Cults,"['imaginary', 'illusionary', 'unbelievable']",Unreal,Rock_And_Roll,"['Hamsters', 'Lucy_and_Desi', 'Choir_Boys', 'Rock_And_Roll', 'Cults', 'Cinderella', 'Power_Drills']",Choir_Boys,Hamsters,Lucy_and_Desi
The_Princess_and_The_Pea,The_1990s,Jodie_Foster,"['amazing', 'remarkable', 'majestic']",Awesome,Camping_Trip,"['Bats_and_Balls', 'A_Prince', 'Watermelons', 'Camping_Trip', 'Jodie_Foster', 'The_1990s', 'The_Princess_and_The_Pea']",Watermelons,Bats_and_Balls,A_Prince
Lemons,Steven_Spielberg,Smith_and_Wesson,"['aromatic', 'odorous', 'perfumed']",Fragrant,My_Family,"['Bungee_Jumping', 'Pail_and_Shovel', 'Bee_Stings', 'My_Family', 'Smith_and_Wesson', 'Steven_Spielberg', 'Lemons']",Bee_Stings,Bungee_Jumping,Pail_and_Shovel
Stretch_Limos,Charging_Rhinos,Summer,"['large', 'huge']",Big,Moon_and_The_Stars,"['Tibet', 'Beer_Bellies', 'Having_A_Baby', 'Moon_and_The_Stars', 'Summer', 'Charging_Rhinos', 'Stretch_Limos']",Having_A_Baby,Tibet,Beer_Bellies
Curds_and_Whey,Wine_Tasting,Road_Kill,"['well-liked', 'accepted', 'preferred']",Popular,Beavis_and_Butt-Head,"['Arnold_Schwarzenegger', 'Having_A_Party', 'The_Zoo', 'Beavis_and_Butt-Head', 'Road_Kill', 'Wine_Tasting', 'Curds_and_Whey']",The_Zoo,Arnold_Schwarzenegger,Having_A_Party
Grace_Kelly,Stop_Signs,Wishbone,"['plump', 'round']",Chubby,Scientists,"['The_Ice_Age', 'Cabbage', 'Meryl_Streep', 'Scientists', 'Wishbone', 'Stop_Signs', 'Grace_Kelly']",Meryl_Streep,The_Ice_Age,Cabbage
A_Crawl_Space,Chicken_Pox,Supermodels,"['old', 'ancient', 'mature']",Aged,Zombies,"['Chinatown', 'Pail_and_Shovel', 'Neighbors', 'Zombies', 'Supermodels', 'Chicken_Pox', 'A_Crawl_Space']",Neighbors,Chinatown,Pail_and_Shovel
Chopsticks,San_Francisco,Clouds,"['awkward', 'bumbling', 'uncoordinated']",Clumsy,A_Giant,"['Stomach_Ache', 'Carpenters', 'Beauty_and_The_Beast', 'A_Giant', 'Clouds', 'San_Francisco', 'Chopsticks']",Beauty_and_The_Beast,Stomach_Ache,Carpenters
NASCAR,Dustin_Hoffman,Cigarette_Burns,"['icky', 'sickening']",Yucky,A_Tree_House,"['NASA', 'The_Symphony', 'Thunderstorms', 'A_Tree_House', 'Cigarette_Burns', 'Dustin_Hoffman', 'NASCAR']",Thunderstorms,NASA,The_Symphony
Rock_Stars,Cupcakes,Crash_and_Burn,"['circular', 'ring', 'shaped']",Round,Goldie_Hawn,"['Broadway', 'Feminists', 'Dollars_and_Cents', 'Goldie_Hawn', 'Crash_and_Burn', 'Cupcakes', 'Rock_Stars']",Dollars_and_Cents,Broadway,Feminists
Leather,Keanu_Reeves,Herb_Gardens,"['dignified', 'extraordinary', 'acclaimed']",Distinguished,Duct_Tape,"['A_Few_Good_Men', 'Looney_Tunes', 'Balloons', 'Duct_Tape', 'Herb_Gardens', 'Keanu_Reeves', 'Leather']",Balloons,A_Few_Good_Men,Looney_Tunes
A_Hole_In_One,Scientists,A_Little_White_Lie,"['sugary', 'caring', 'good']",Sweet,Democrats,"['Oil_Spills', 'Cattle_Ranch', 'James_Dean', 'Democrats', 'A_Little_White_Lie', 'Scientists', 'A_Hole_In_One']",James_Dean,Oil_Spills,Cattle_Ranch
Football_Players,South_Africa,Reading_and_Writing,"['sloppy', 'disorderly', 'unclean']",Messy,Maui,"['Bart_Simpson', 'Woodstock', 'Cherry_Pie', 'Maui', 'Reading_and_Writing', 'South_Africa', 'Football_Players']",Cherry_Pie,Bart_Simpson,Woodstock
Swamps,Oprah_Winfrey,Babies,"['very', 'good', 'important']",Great,Skydiving,"['Losing_Your_Backpack', 'Trees', 'Fish_and_Chips', 'Skydiving', 'Babies', 'Oprah_Winfrey', 'Swamps']",Fish_and_Chips,Losing_Your_Backpack,Trees
Pizza,Dr._Evil,Stuart_Little,"['gifted', 'clever', 'skillful']",Talented,Bingo,"['Dinner_and_A_Movie', 'Oil_and_Vinegar', 'Creamed_Corn', 'Bingo', 'Stuart_Little', 'Dr._Evil', 'Pizza']",Creamed_Corn,Dinner_and_A_Movie,Oil_and_Vinegar
Pickles,The_Wright_Brothers,Odds_and_Ends,"['daring', 'brave', 'courageous']",Bold,High_Heels,"['Liver_And_Onions', 'Tarzan_and_Jane', 'Goldie_Hawn', 'High_Heels', 'Odds_and_Ends', 'The_Wright_Brothers', 'Pickles']",Goldie_Hawn,Liver_And_Onions,Tarzan_and_Jane
Toy_Poodles,Count_Dracula,Oranges,"['false', 'artificial', 'imitation']",Phony,Music_Lessons,"['Cloned_Sheep', 'A_Queen', 'Hillary_Rodham_Clinton', 'Music_Lessons', 'Oranges', 'Count_Dracula', 'Toy_Poodles']",Hillary_Rodham_Clinton,Cloned_Sheep,A_Queen
Bongos,My_Personality,Lassie,"['smelly', 'bad', 'odor']",Stinky,A_Car_Crash,"['Elephants', 'An_Igloo', 'Getting_Stitches', 'A_Car_Crash', 'Lassie', 'My_Personality', 'Bongos']",Getting_Stitches,Elephants,An_Igloo
Body_Surfing,Play-Doh,Science_Fair_Projects,"['irritable', 'nervous', 'tense']",Edgy,Thunderstorms,"['Tattoo_Parlors', 'Armadillo', 'Recycling', 'Thunderstorms', 'Science_Fair_Projects', 'Play-Doh', 'Body_Surfing']",Recycling,Tattoo_Parlors,Armadillo
Lego_Building_Blocks,Umbrella_Drinks,My_Teacher,"['fearful', 'afraid', 'spineless']",Cowardly,Water_Baloons,"['Violins', 'Piranha', 'Boy_Scouts', 'Water_Baloons', 'My_Teacher', 'Umbrella_Drinks', 'Lego_Building_Blocks']",Boy_Scouts,Violins,Piranha
Katherine_Hepburn,Charlotte's_Web,The_Last_Day_Of_School,"['thrilling', 'breathtaking', 'arousing']",Exciting,Andy_Warhol,"['Breaking_and_Entering', 'Meat_and_Potatoes', 'Casablanca', 'Andy_Warhol', 'The_Last_Day_Of_School', ""Charlotte's_Web"", 'Katherine_Hepburn']",Casablanca,Breaking_and_Entering,Meat_and_Potatoes
Graffiti,The_Super_Bowl,Wood_Chippers,"['daring', 'brave', 'courageous']",Bold,The_President,"['Stuart_Little', 'Cuba', 'Watching_TV', 'The_President', 'Wood_Chippers', 'The_Super_Bowl', 'Graffiti']",Watching_TV,Stuart_Little,Cuba
Swiss_Chocolate,Leather,My_Hair,"['scary', 'horrifying', 'awesome']",Frightening,Ducks,"['Pounding_Nails', 'Apple_Pie', 'Stunt_People', 'Ducks', 'My_Hair', 'Leather', 'Swiss_Chocolate']",Stunt_People,Pounding_Nails,Apple_Pie
A_Swimming_Pool,The_Atlantic_and_Pacific,California,"['lifeless', 'apathetic', 'weary']",Lazy,Raves,"['Basketball', 'Toothpaste', 'Watermelon', 'Raves', 'California', 'The_Atlantic_and_Pacific', 'A_Swimming_Pool']",Watermelon,Basketball,Toothpaste
Rocking_Chairs,My_Father,Doctors,"['dismal', 'gloomy', 'sad']",Depressing,Macaroni_And_Cheese,"['Dating', 'The_Vatican', 'Mittens', 'Macaroni_And_Cheese', 'Doctors', 'My_Father', 'Rocking_Chairs']",Mittens,Dating,The_Vatican
A_Giant,The_Midwest,Berlin_-_1945,"['useful', 'helpful']",Practical,A_Cookbook,"['A_Spare_Tire', 'Chips_and_Salsa', 'Video_Games', 'A_Cookbook', 'Berlin_-_1945', 'The_Midwest', 'A_Giant']",Video_Games,A_Spare_Tire,Chips_and_Salsa
House_and_Home,Pajamas,Peanut_Butter_and_Jelly,"['pitiful', 'distressing', 'heart-rending']",Pathetic,A_Little_White_Lie,"['Charles_and_Diana', 'My_Boss', 'D-Day,_1944', 'A_Little_White_Lie', 'Peanut_Butter_and_Jelly', 'Pajamas', 'House_and_Home']","D-Day,_1944",Charles_and_Diana,My_Boss
Snowballs,George_W._Bush,Brooks_and_Dunn,"['odd', 'unusual']",Strange,Knitting_Needles,"['Maximum_Security_Prison', 'X-Ray_Vision', 'Erasers', 'Knitting_Needles', 'Brooks_and_Dunn', 'George_W._Bush', 'Snowballs']",Erasers,Maximum_Security_Prison,X-Ray_Vision
Pajamas,Husbands_and_Wives,Family_Values,"['shy', 'timid', 'modest']",Bashful,Science_Fiction,"['Having_A_Party', 'Gang_Members', 'Chameleons', 'Science_Fiction', 'Family_Values', 'Husbands_and_Wives', 'Pajamas']",Chameleons,Having_A_Party,Gang_Members
Earthquakes,Rio_De_Janeiro,Football,"['snobbish', 'arrogant', 'smug']",Elitist,A_Bull_Fight,"['Woody_Allen', 'Water', 'Factories', 'A_Bull_Fight', 'Football', 'Rio_De_Janeiro', 'Earthquakes']",Factories,Woody_Allen,Water
Fuzz,The_San_Andreas_Fault,Blood,"['stinky', 'odorous', 'rank']",Smelly,Martha_Stewart,"['My_First_Kiss', 'A_School_Bus', 'Rock_Candy', 'Martha_Stewart', 'Blood', 'The_San_Andreas_Fault', 'Fuzz']",Rock_Candy,My_First_Kiss,A_School_Bus
